(n0012-il) NACA 0012 AIRFOILS
Airfoil,naca0012-il
http://airfoiltools.com/airfoil/details?airfoil=n0012-il
https://www.osti.gov/servlets/purl/6548367_accessed
Re = 700000.0 (should of been 6503552 (4.12 m/s, 2m, 1.267E-6, 50F)) NACA0012 SECTION DATA EPPLER MODEL DEC78
Alfa,Cl,Cd
0.0000,0.0000,0.0067
1.0000,0.1100,0.0068
2.0000,0.2200,0.0070
3.0000,0.3300,0.0075
4.0000,0.4400,0.0083
5.0000,0.5500,0.0097
6.0000,0.6600,0.0108
7.0000,0.7700,0.0118
8.0000,0.8800,0.0128
9.0000,0.9598,0.0144
10.0000,1.0343,0.0159
11.0000,1.0749,0.0175
12.0000,1.0390,0.0195
13.0000,0.8737,0.0216
14.0000,0.6284,0.0236
15.0000,0.4907,0.1170
16.0000,0.4696,0.2100
17.0000,0.5105,0.2300
18.0000,0.5584,0.2520
19.0000,0.6032,0.2740
20.0000,0.6474,0.2970
21.0000,0.6949,0.3200
22.0000,0.7446,0.3440
23.0000,0.7948,0.3690
24.0000,0.8462,0.3940
25.0000,0.8984,0.4200
26.0000,0.9506,0.4460
27.0000,1.0029,0.4730
30.0000,0.9150,0.5700
35.0000,1.0200,0.7450
40.0000,1.0750,0.9200
45.0000,1.0850,1.0750
50.0000,1.0400,1.2150
55.0000,0.9650,1.3450
60.0000,0.8750,1.4700
65.0000,0.7650,1.5750
70.0000,0.6500,1.6650
75.0000,0.5150,1.7350
80.0000,0.3700,1.7800
85.0000,0.2200,1.8000
90.0000,0.0700,1.8000
95.0000,-0.0700,1.7800
100.0000,-0.2200,1.7500
105.0000,-0.3700,1.7000
110.0000,-0.5100,1.6350
115.0000,-0.6250,1.5550
120.0000,-0.7350,1.4650
125.0000,-0.8400,1.3500
130.0000,-0.3100,1.2250
135.0000,-0.3450,1.0850
140.0000,-0.9450,0.9250
145.0000,-0.9100,0.7550
150.0000,-0.8500,0.5750
155.0000,-0.7400,0.4200
160.0000,-0.6600,0.3200
165.0000,-0.6750,0.2300
170.0000,-0.8500,0.1400
175.0000,-0.6900,0.0550
180.0000,0.0000,0.0250
